"type","date","ticker","close","previous_close","percentage_close","vol","av20d","percentage_vol"
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","OPTXW",0.0775,0.1,-0.225000000000,83378.0,78076.8,1.067897249887
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","URAX",12.12,15.64,-0.225063938618,50257.0,19685.2,2.553034767236
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","URAA",17.55,22.66,-0.225507502206,137853.0,29163.05,4.726974716293
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","TSSI",12.79,16.54,-0.226723095525,3213748.0,1260615.45,2.549348415490
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","AGMH",1.05,1.36,-0.227941176470,225574.0,47128.5,4.786360694696
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","QTI",0.3951,0.5119,-0.228169564368,1524429.0,446882.85,3.411249726857
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MGOL",0.283,0.367,-0.228882833787,1.0366945E7,5903900.9,1.755948342561
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LTBR",6.165,8.03,-0.232254047322,3385160.0,2185199.8,1.549130656153
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ASPI",5.22,6.8,-0.232352941176,4365172.0,2214443.6,1.971227445124
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MUU",17.14,22.34,-0.232766338406,506830.0,307185.6,1.649914579329
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MULL",15.265,19.96,-0.235220440881,93322.0,44519.85,2.096188554094
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","CIFR",4.51,5.9,-0.235593220338,3.0481703E7,9838522.75,3.098199168162
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","STRL",143.0,187.3,-0.236518953550,1519401.0,376732.25,4.033105740217
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SAIH",0.7187,0.9459,-0.240194523734,316911.0,170198.7,1.862005996520
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","HUT",19.78,26.04,-0.240399385560,1.3155544E7,5764711.100000003,2.282082097748
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","IREN",10.09,13.32,-0.242492492492,4.7073768E7,1.617518505E7,2.910246025284
